seed	dq	dp	de	dgf	dgm	dg1	dg2	dg3	dg4	pf	pm	p1	p2	p3	p4	blue_daf	blue_dam	blue_da1	blue_da2	blue_da3	blue_da4	pink_daf	pink_dam	pink_da1	pink_da2	pink_da3	pink_da4	blue_laf	blue_lam	blue_la1	blue_la2	blue_la3	blue_la4	pink_laf	pink_lam	pink_la1	pink_la2	pink_la3	pink_la4	pedid	xr1	blue_recomb	x1	xr2	pink_recomb	x2	x	i	dallele	lallele	Y
2144457975	0.4	0.6	0.1	1	3	2	2	2	2	-0.573064218	0.8366146961	0.0929534389	0.1604344418	-0.074449214	0.1362275873	1	2	1	1	1	1	1	2	2	2	2	2	4	6	6	6	4	4	6	2	6	2	6	6	11	0.371696124	0	0.1872219509	0.3994643024	0	0.3267440602	1.3622758732	1	1	4	0
2144457975	0.4	0.6	0.1	1	3	2	2	2	2	-0.573064218	0.8366146961	0.0929534389	0.1604344418	-0.074449214	0.1362275873	1	2	1	1	1	1	1	2	2	2	2	2	4	6	6	6	4	4	6	2	6	2	6	6	11	0.371696124	0	0.1872219509	0.3994643024	0	0.3267440602	1.3622758732	1	1	6	0
335245709	0.4	0.6	0.1	3	1	2	2	2	2	0.7742076066	-0.652336363	0.0201299855	-0.124146191	0.038177348	0.0959421252	2	1	2	2	2	2	2	1	1	1	1	1	5	4	5	5	5	5	5	3	3	3	4	4	12	0.8223182712	0	0.8858509175	0.1025853814	0	0.4807453954	0.9594212524	1	2	5	1
335245709	0.4	0.6	0.1	3	1	2	2	2	2	0.7742076066	-0.652336363	0.0201299855	-0.124146191	0.038177348	0.0959421252	2	1	2	2	2	2	2	1	1	1	1	1	5	4	5	5	5	5	5	3	3	3	4	4	12	0.8223182712	0	0.8858509175	0.1025853814	0	0.4807453954	0.9594212524	1	2	5	1
1820157317	0.4	0.6	0.1	2	2	3	2	3	2	-0.048827925	-0.172475294	0.7776119136	-0.112803547	0.7996764473	0.1364040702	2	2	2	1	2	2	1	1	2	2	2	1	6	4	6	5	6	6	5	5	4	4	4	5	13	0.5587916181	0	0.4113750916	0.5542312835	0	0.8342404826	1.3640407023	1	2	6	1
1820157317	0.4	0.6	0.1	2	2	3	2	3	2	-0.048827925	-0.172475294	0.7776119136	-0.112803547	0.7996764473	0.1364040702	2	2	2	1	2	2	1	1	2	2	2	1	6	4	6	5	6	6	5	5	4	4	4	5	13	0.5587916181	0	0.4113750916	0.5542312835	0	0.8342404826	1.3640407023	1	1	5	0
1116558348	0.4	0.6	0.1	3	3	3	3	3	3	0.7254337849	0.8694096101	0.9008010362	0.9800408339	0.5423447082	0.7057987183	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	3	3	3	6	1	1	6	6	14	0.6831294995	0	0.9410536736	0.8266839263	0	0.9764574421	-0.942012817	1	2	2	1
1116558348	0.4	0.6	0.1	3	3	3	3	3	3	0.7254337849	0.8694096101	0.9008010362	0.9800408339	0.5423447082	0.7057987183	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	3	3	3	6	1	1	6	6	14	0.6831294995	0	0.9410536736	0.8266839263	0	0.9764574421	-0.942012817	1	2	3	1
604901746	0.4	0.6	0.1	2	2	2	3	2	3	-0.043871859	0.0921959333	0.0546129751	0.6840439888	-0.046263295	0.7870086913	1	1	1	2	1	2	2	2	2	2	2	2	5	4	5	6	5	5	6	6	6	6	6	6	15	0.0745426454	1	0.9303556326	0.1626508106	0	0.874799218	-0.129913087	1	1	5	0
604901746	0.4	0.6	0.1	2	2	2	3	2	3	-0.043871859	0.0921959333	0.0546129751	0.6840439888	-0.046263295	0.7870086913	1	1	1	2	1	2	2	2	2	2	2	2	5	4	5	6	5	5	6	6	6	6	6	6	15	0.0745426454	1	0.9303556326	0.1626508106	0	0.874799218	-0.129913087	1	2	6	1
1489754846	0.4	0.6	0.1	2	2	2	2	3	2	0.0205730744	0.0392077976	-0.121928619	-0.257761278	0.7795012972	-0.009395982	1	2	2	1	2	1	2	1	1	2	2	2	6	3	3	6	3	6	3	2	2	3	3	3	16	0.3059875599	0	0.4922765295	0.9154229774	0	0.3548596605	-0.093959821	1	1	6	0
1489754846	0.4	0.6	0.1	2	2	2	2	3	2	0.0205730744	0.0392077976	-0.121928619	-0.257761278	0.7795012972	-0.009395982	1	2	2	1	2	1	2	1	1	2	2	2	6	3	3	6	3	6	3	2	2	3	3	3	16	0.3059875599	0	0.4922765295	0.9154229774	0	0.3548596605	-0.093959821	1	2	3	1
1409083667	0.4	0.6	0.1	2	2	1	2	2	2	0.1054330127	0.0353246621	-0.547147651	-0.18354905	-0.021052917	-0.020752491	2	1	1	2	1	1	1	2	1	1	2	2	4	6	6	4	6	6	6	5	6	6	5	5	17	0.5090104106	0	0.9944306021	0.3370771568	0	0.6738679887	-0.207524908	1	2	4	1
1409083667	0.4	0.6	0.1	2	2	1	2	2	2	0.1054330127	0.0353246621	-0.547147651	-0.18354905	-0.021052917	-0.020752491	2	1	1	2	1	1	1	2	1	1	2	2	4	6	6	4	6	6	6	5	6	6	5	5	17	0.5090104106	0	0.9944306021	0.3370771568	0	0.6738679887	-0.207524908	1	1	6	0
466641608	0.4	0.6	0.1	2	1	2	2	1	2	-0.017263913	-0.646695925	-0.057887806	0.0413539134	-0.604974185	0.0333962782	1	1	2	2	1	2	2	1	1	1	1	1	3	1	3	3	3	3	3	4	4	4	1	4	18	0.7331723323	0	0.988376718	0.8074846122	0	0.8256659516	0.3339627816	1	1	3	0
466641608	0.4	0.6	0.1	2	1	2	2	1	2	-0.017263913	-0.646695925	-0.057887806	0.0413539134	-0.604974185	0.0333962782	1	1	2	2	1	2	2	1	1	1	1	1	3	1	3	3	3	3	3	4	4	4	1	4	18	0.7331723323	0	0.988376718	0.8074846122	0	0.8256659516	0.3339627816	1	2	3	1
2027069554	0.4	0.6	0.1	1	1	1	1	1	1	-0.555215554	-0.767602023	-0.673935329	-0.517239516	-0.523681342	-0.447649784	1	1	1	1	1	1	1	1	1	1	1	1	1	3	6	1	6	6	6	5	3	3	5	3	19	0.5195882588	0	0.5996418025	0.9001612407	0	0.0538629601	1.5235021639	1	1	1	0
2027069554	0.4	0.6	0.1	1	1	1	1	1	1	-0.555215554	-0.767602023	-0.673935329	-0.517239516	-0.523681342	-0.447649784	1	1	1	1	1	1	1	1	1	1	1	1	1	3	6	1	6	6	6	5	3	3	5	3	19	0.5195882588	0	0.5996418025	0.9001612407	0	0.0538629601	1.5235021639	1	1	6	0
1161293754	0.4	0.6	0.1	2	1	2	1	1	2	0.1114733743	-0.645213255	-0.004372291	-0.764355187	-0.563096849	-0.165979113	2	1	2	1	1	2	1	1	1	1	1	1	5	3	3	5	3	5	3	1	3	1	1	1	20	0.3879405243	0	0.4910359627	0.688047699	0	0.917759675	-1.659791135	1	2	5	1
1161293754	0.4	0.6	0.1	2	1	2	1	1	2	0.1114733743	-0.645213255	-0.004372291	-0.764355187	-0.563096849	-0.165979113	2	1	2	1	1	2	1	1	1	1	1	1	5	3	3	5	3	5	3	1	3	1	1	1	20	0.3879405243	0	0.4910359627	0.688047699	0	0.917759675	-1.659791135	1	1	3	0
2114307310	0.4	0.6	0.1	1	2	1	2	2	2	-0.522480077	-0.109191544	-0.56434925	-0.038590076	0.01825689	0.1301134046	1	1	1	1	1	1	1	2	1	2	2	2	3	4	3	5	5	5	5	4	4	4	4	4	21	0.1716986746	0	0.5012018944	0.3633954098	0	0.524398234	1.3011340459	1	1	3	0
2114307310	0.4	0.6	0.1	1	2	1	2	2	2	-0.522480077	-0.109191544	-0.56434925	-0.038590076	0.01825689	0.1301134046	1	1	1	1	1	1	1	2	1	2	2	2	3	4	3	5	5	5	5	4	4	4	4	4	21	0.1716986746	0	0.5012018944	0.3633954098	0	0.524398234	1.3011340459	1	1	5	0
1473576528	0.4	0.6	0.1	2	2	2	1	1	3	0.1558864429	0.0122528684	0.1237805185	-0.663323524	-0.627129645	0.7833612674	1	2	2	1	1	2	2	1	1	1	1	2	1	4	1	1	1	1	1	4	4	4	4	4	22	0.4307367375	0	0.5816755982	0.9861518978	0	0.11507865	-0.166387326	1	1	1	0
1473576528	0.4	0.6	0.1	2	2	2	1	1	3	0.1558864429	0.0122528684	0.1237805185	-0.663323524	-0.627129645	0.7833612674	1	2	2	1	1	2	2	1	1	1	1	2	1	4	1	1	1	1	1	4	4	4	4	4	22	0.4307367375	0	0.5816755982	0.9861518978	0	0.11507865	-0.166387326	1	2	1	1
2000225633	0.4	0.6	0.1	1	3	2	2	2	2	-0.610166034	0.864639803	0.0754609142	0.0872819223	-0.027675616	0.1110834524	1	2	1	1	1	1	1	2	2	2	2	2	5	2	5	2	2	2	2	6	6	2	6	2	23	0.5738867384	0	0.995114035	0.687264792	0	0.0483692182	1.1108345237	1	1	5	0
2000225633	0.4	0.6	0.1	1	3	2	2	2	2	-0.610166034	0.864639803	0.0754609142	0.0872819223	-0.027675616	0.1110834524	1	2	1	1	1	1	1	2	2	2	2	2	5	2	5	2	2	2	2	6	6	2	6	2	23	0.5738867384	0	0.995114035	0.687264792	0	0.0483692182	1.1108345237	1	1	2	0
2007033381	0.4	0.6	0.1	1	2	1	2	1	2	-0.684105117	-0.106898014	-0.600277597	0.0925651214	-0.46984377	0.0772553724	1	1	1	1	1	1	1	2	1	2	1	2	5	4	4	4	4	5	4	5	4	5	4	5	24	0.2144064164	0	0.3682384642	0.5363243378	0	0.7019789874	0.7725537245	1	1	5	0
2007033381	0.4	0.6	0.1	1	2	1	2	1	2	-0.684105117	-0.106898014	-0.600277597	0.0925651214	-0.46984377	0.0772553724	1	1	1	1	1	1	1	2	1	2	1	2	5	4	4	4	4	5	4	5	4	5	4	5	24	0.2144064164	0	0.3682384642	0.5363243378	0	0.7019789874	0.7725537245	1	1	4	0
369857384	0.4	0.6	0.1	3	2	2	3	3	2	0.7449311404	0.0526349894	0.032711748	0.6602298525	0.8925135042	0.0406479053	2	2	2	2	2	2	2	1	1	2	2	1	6	5	2	2	6	2	2	1	1	5	5	5	25	0.1671284675	0	0.5326244875	0.0185169135	1	0.8626211508	0.4064790527	1	2	6	1
